Drone ID,Application,Drone Size,Drone Model,Manufacturer,Propeller Count,Max Carry Weight (kg),Actual Carry Weight (kg),Payload Type,Payload Description,Altitude (meters),Flight Duration (minutes),Distance Flown (km),Operator ID,Flight Date,Battery Remaining (%),GPS Accuracy (meters),Wind Speed (m/s),Obstacles Encountered,Flight Status,Regulatory Approval ID,Notes
D130,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Consumer electronics",69,24,7.1,OP013,2025-04-24,87,1.8,3.3,No,Completed,REG-2025-XYZ-678,
D131,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Action camera",83,17,5.9,OP004,2025-04-25,99,1,2,No,Completed,REG-2025-ABC-901,
D132,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.7,Camera,"High-resolution still camera",105,40,12.8,OP002,2025-04-26,63,2.4,5.9,Yes,Completed,REG-2025-DEF-234,
D133,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.5,"Liquid Tank",Defoliant,27,36,11.5,OP003,2025-04-27,39,3.6,7.9,Yes,Completed,REG-2025-GHI-567,
D134,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.9,Package,Documents,71,26,8.2,OP013,2025-04-28,84,2,3.6,No,Completed,REG-2025-JKL-890,
D135,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Zoom lens",87,21,6.8,OP004,2025-04-29,92,1.5,2.6,No,Completed,REG-2025-MNO-123,
D136,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,4.8,"Camera, Sensor","Infrared and ultraviolet camera",108,56,14,OP002,2025-05-26,57,2.9,7.2,Yes,Completed,REG-2025-VWX-456,
D137,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6,2.9,Camera,"Vehicle speed detection camera",82,38,11,OP005,2025-05-27,70,1.8,4,No,Completed,REG-2025-XYZ-789,
D138,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16,9.5,Camera,"High-frame-rate camera",158,68,21,OP002,2025-05-28,43,3.2,8.3,Yes,Completed,REG-2025-ABC-012,
D139,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11,7.2,"Camera, GPS","Total station integration",53,35,9,OP006,2025-05-29,80,1.6,3,No,Completed,REG-2025-DEF-345,
D140,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,0.9,Camera,"Live streaming camera",93,30,7,OP004,2025-05-30,94,1.7,3.8,No,Completed,REG-2025-GHI-678,
D141,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.1,Package,"Clothing items",68,22,7,OP013,2025-05-01,88,1.8,3.2,No,Completed,REG-2025-DEF-901,
D142,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Standard lens",82,19,5,OP004,2025-05-02,93,1.1,2,No,Completed,REG-2025-GHI-234,
D143,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank",Herbicide,32,31,10,OP003,2025-05-03,45,3.1,7.3,No,Completed,REG-2025-JKL-567,
D144,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Food delivery",70,16,4,OP011,2025-05-04,90,1.5,2.9,No,Completed,REG-2025-MNO-890,
D145,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Telephoto lens",88,21,6,OP004,2025-05-05,96,1.3,2.3,No,Completed,REG-2025-OPQ-123,
D146,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.8,Camera,"Thermal imaging camera",108,38,12,OP002,2025-05-06,65,2.1,5,Yes,Completed,REG-2025-RST-456,
D147,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19,"Liquid Tank",Fungicide,28,33,9,OP003,2025-05-07,42,3.5,7.8,Yes,Completed,REG-2025-UVW-789,
D148,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.5,Package,"Electronics accessories",72,25,8,OP013,2025-05-08,85,1.7,3,No,Completed,REG-2025-XYZ-012,
D149,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"ND filters",85,20,7,OP004,2025-05-09,98,1,2.1,No,Completed,REG-2025-ABC-345,
D150,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.9,Sensor,"Gas leak sensor",112,41,14,OP002,2025-05-10,68,2.3,5.5,Yes,Completed,REG-2025-DEF-678,
D151,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Books",73,16,4.2,OP012,2025-05-11,92,1.6,2.9,No,Completed,REG-2025-GHI-901,
D152,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard lens",81,18,5.2,OP004,2025-05-12,94,1.2,2.3,No,Completed,REG-2025-JKL-234,
D153,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.1,"Liquid Tank","Organic fertilizer",34,30,10.5,OP003,2025-05-13,47,3.1,7.2,No,Completed,REG-2025-MNO-567,
D154,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Food delivery",69,15,3.8,OP011,2025-05-14,89,1.4,2.6,No,Completed,REG-2025-OPQ-890,
D155,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Telephoto lens",87,20,6.1,OP004,2025-05-15,95,1.3,2.1,No,Completed,REG-2025-RST-123,
D156,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.5,Camera,"Thermal imaging camera",109,37,11.8,OP002,2025-05-16,64,2.2,5.4,Yes,Completed,REG-2025-UVW-456,
D157,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Fungicide,27,32,8.8,OP003,2025-05-17,41,3.3,7.5,Yes,Completed,REG-2025-XYZ-789,
D158,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.3,Package,"Electronics accessories",71,24,7.3,OP013,2025-05-18,87,1.8,3.2,No,Completed,REG-2025-ABC-012,
D159,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"ND filters",84,19,6.5,OP004,2025-05-19,97,1.1,2.2,No,Completed,REG-2025-DEF-345,
D160,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.6,Sensor,"Gas leak sensor",111,40,13.5,OP002,2025-05-20,69,2.4,5.7,Yes,Completed,REG-2025-GHI-678,
D161,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Medicine",70,18,4.9,OP011,2025-05-21,95,1.3,2.7,No,Completed,REG-2025-JKL-901,
D162,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Time-lapse camera",85,22,6.8,OP004,2025-05-22,92,1.2,2.4,No,Completed,REG-2025-MNO-234,
D163,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.5,"Liquid Tank","Nutrient solution",32,31,10.8,OP003,2025-05-23,44,3.4,7.3,Yes,Completed,REG-2025-OPQ-567,
D164,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.7,Package,"Consumer electronics",68,23,7.5,OP013,2025-05-24,88,1.9,3.4,No,Completed,REG-2025-RST-890,
D165,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"Action camera",82,16,5.5,OP004,2025-05-25,98,1.1,2.1,No,Completed,REG-2025-UVW-123,
D166,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.9,Camera,"High-resolution still camera",106,38,12.2,OP002,2025-05-26,62,2.3,5.8,Yes,Completed,REG-2025-XYZ-456,
D167,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.2,"Liquid Tank",Defoliant,28,35,11.2,OP003,2025-05-27,40,3.5,7.6,Yes,Completed,REG-2025-ABC-789,
D168,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.2,Package,Documents,70,25,7.8,OP013,2025-05-28,85,2.1,3.5,No,Completed,REG-2025-DEF-901,
D169,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Zoom lens",86,20,6.2,OP004,2025-05-29,93,1.4,2.3,No,Completed,REG-2025-GHI-234,
D170,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.2,Sensor,"Magnetic particle inspection sensor",110,42,13.8,OP002,2025-05-30,68,2.2,5.5,Yes,Completed,REG-2025-JKL-567,
D171,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,5.1,Camera,"UV inspection camera",102,59,16,OP002,2025-05-21,55,2.7,6.9,Yes,Completed,REG-2025-MNO-890,
D172,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6,3,Camera,"License plate recognition camera",81,36,10,OP005,2025-05-22,78,1.6,4.1,No,Completed,REG-2025-OPQ-123,
D173,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16,8.8,Camera,"High-resolution video camera",157,72,23,OP002,2025-05-23,42,3,8.2,Yes,Completed,REG-2025-RST-345,
D174,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11,7.3,"Camera, GPS","Real-time kinematic (RTK) GPS",52,33,8,OP006,2025-05-24,85,1.3,3.1,No,Completed,REG-2025-UVW-678,
D175,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,0.9,Camera,"360-degree video camera",92,29,5.5,OP004,2025-05-25,91,1.8,3.8,No,Completed,REG-2025-XYZ-901,
D176,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10,3.8,Package,"Emergency rations",68,53,26,OP011,2025-05-26,62,2.4,4.9,No,Completed,REG-2025-ABC-234,
D177,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14,6.8,Sensor,"Ultrasonic leak detector",38,62,22,OP002,2025-05-27,80,2.1,6.7,Yes,Completed,REG-2025-DEF-567,
D178,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.2,Sensor,"Leaf area index sensor",45,25,8.5,OP003,2025-05-28,88,1.1,4,No,Completed,REG-2025-GHI-890,
D179,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.7,Camera,Trail camera,108,52,17,OP009,2025-05-29,70,1.6,4.5,Yes,Completed,REG-2025-JKL-123,
D180,Emergency Response,Large,FirstResponder,RescueFly,8,13,6.2,"First Aid Kit","Basic medical supplies",138,47,12,OP007,2025-05-30,58,2.8,5.8,Yes,Completed,REG-2025-MNO-456,
D181,Product Photography,Small,StudioShot,PhotoFly,4,1,0.6,Camera,"Macro lens camera",52,17,3.5,OP004,2025-05-31,95,0.8,2,No,Completed,REG-2025-OPQ-789,
D182,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.3,Package,"Clothing items",70,23,7.2,OP013,2025-05-01,89,1.7,3.3,No,Completed,REG-2025-DEF-901,
D183,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard lens",83,20,5.3,OP004,2025-05-02,92,1.2,2.1,No,Completed,REG-2025-GHI-234,
D184,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.8,"Liquid Tank",Herbicide,33,32,10.8,OP003,2025-05-03,46,3.2,7.5,No,Completed,REG-2025-JKL-567,
D185,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Food delivery",71,15,4.1,OP011,2025-05-04,91,1.4,2.8,No,Completed,REG-2025-MNO-890,
D186,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Telephoto lens",86,21,6.3,OP004,2025-05-05,94,1.3,2.2,No,Completed,REG-2025-OPQ-123,
D187,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.3,Camera,"Thermal imaging camera",110,39,12.1,OP002,2025-05-06,63,2.3,5.6,Yes,Completed,REG-2025-RST-456,
D188,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.2,"Liquid Tank",Fungicide,29,33,9.2,OP003,2025-05-07,44,3.4,7.7,Yes,Completed,REG-2025-UVW-789,
D189,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.6,Package,"Electronics accessories",73,26,7.5,OP013,2025-05-08,86,1.6,3.1,No,Completed,REG-2025-XYZ-012,
D058,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.1,Package,"Small appliances",65,21,6.8,OP013,2025-04-18,89,1.7,3.1,No,Completed,REG-2025-GHI-890,
D190,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"ND filters",82,18,6.1,OP004,2025-05-09,97,1.1,2.3,No,Completed,REG-2025-ABC-345,
D191,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.8,Sensor,"Gas leak sensor",113,42,13.8,OP002,2025-05-10,70,2.1,5.3,Yes,Completed,REG-2025-DEF-678,
D192,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Medicine",71,17,5.5,OP011,2025-05-11,94,1.5,2.9,No,Completed,REG-2025-GHI-901,
D193,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Time-lapse camera",88,21,6.8,OP004,2025-05-12,93,1.3,2.6,No,Completed,REG-2025-JKL-234,
D194,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.9,"Liquid Tank","Nutrient solution",30,34,10.5,OP003,2025-05-13,42,3.3,7.1,Yes,Completed,REG-2025-MNO-567,
D195,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.8,Package,"Consumer electronics",72,25,7.8,OP013,2025-05-14,85,1.7,3.5,No,Completed,REG-2025-OPQ-890,
D196,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Action camera",81,19,5.2,OP004,2025-05-15,96,1.1,2.1,No,Completed,REG-2025-RST-123,
D197,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.5,Camera,"High-resolution still camera",107,37,12.5,OP002,2025-05-16,65,2.4,5.8,Yes,Completed,REG-2025-UVW-456,
D198,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.8,"Liquid Tank",Defoliant,26,37,11.8,OP003,2025-05-17,40,3.6,8,Yes,Completed,REG-2025-XYZ-789,
D199,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.1,Package,Documents,73,22,7.1,OP013,2025-05-18,88,2,3.7,No,Completed,REG-2025-ABC-012,
D200,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Zoom lens",89,23,6.5,OP004,2025-05-19,91,1.5,2.7,No,Completed,REG-2025-DEF-345,
D201,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.4,Sensor,"Magnetic particle inspection sensor",112,41,13.2,OP002,2025-05-20,67,2.2,5.4,Yes,Completed,REG-2025-GHI-678,
D202,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,5.2,Camera,"UV inspection camera",101,60,17,OP002,2025-05-21,53,2.9,7,Yes,Completed,REG-2025-JKL-901,
D203,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6,3.2,Camera,"License plate recognition camera",82,37,10.5,OP005,2025-05-22,76,1.7,4.3,No,Completed,REG-2025-MNO-234,
D204,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16,8.9,Camera,"High-resolution video camera",156,71,22.5,OP002,2025-05-23,41,3.1,8.1,Yes,Completed,REG-2025-OPQ-567,
D205,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11,7.1,"Camera, GPS","Real-time kinematic (RTK) GPS",51,34,7.5,OP006,2025-05-24,84,1.4,3,No,Completed,REG-2025-RST-890,
D206,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,0.9,Camera,"360-degree video camera",91,30,5.2,OP004,2025-05-25,93,1.9,3.9,No,Completed,REG-2025-UVW-123,
D008,Film Production,Large,CineDrone X,FilmCraft,8,18,10,Camera,"Professional cinema camera with gimbal",60,40,7,OP008,2025-03-27,70,2,4.2,No,Completed,REG-2025-VWX-234,"Filming aerial shots for a movie"
D009,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2,1.2,Sensor,"Air quality sampling device",40,28,6,OP009,2025-03-28,88,1.1,2.7,No,Completed,REG-2025-YZA-567,"Collecting air pollution data over urban area"
D010,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3,1.5,Scanner,"Barcode and RFID scanner",15,30,4,OP010,2025-03-29,75,0.9,1.5,No,Completed,REG-2025-BCD-890,"Indoor inventory management"
D011,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1,Package,"Small documents",60,18,5,OP011,2025-03-19,95,1.3,2.9,No,Completed,REG-2025-EFG-123,"Express document delivery"
D012,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.5,Camera,"High-definition camera",90,38,12,OP002,2025-03-18,60,2.2,5.8,Yes,Completed,REG-2025-HIJ-456,"Routine bridge structure assessment"
D013,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.8,Camera,"Multispectral camera for plant health analysis",45,22,7,OP003,2025-03-17,80,1,3.3,No,Completed,REG-2025-KLM-789,"Assessing crop health in a small farm"
D014,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.6,Camera,"Wide-angle camera for property showcasing",75,25,4,OP004,2025-03-16,88,1.6,2.5,No,Completed,REG-2025-NOP-012,"Taking aerial photos of a residential property"
D015,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,5,"Camera, Sensor","Corona discharge camera, infrared thermometer",110,55,16,OP002,2025-03-15,50,2.9,7.1,Yes,Completed,REG-2025-QRS-345,"Inspecting high-voltage power lines"
D207,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10,3.6,Package,"Emergency rations",67,54,27,OP011,2025-05-26,61,2.5,5,No,Completed,REG-2025-XYZ-456,
D208,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14,6.9,Sensor,"Ultrasonic leak detector",39,61,21.5,OP002,2025-05-27,79,2.2,6.6,Yes,Completed,REG-2025-ABC-789,
D209,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.2,Sensor,"Leaf area index sensor",44,27,8.2,OP003,2025-05-28,87,1.2,3.8,No,Completed,REG-2025-DEF-901,
D210,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.8,Camera,Trail camera,107,51,16.5,OP009,2025-05-29,69,1.7,4.4,Yes,Completed,REG-2025-GHI-234,
D211,Emergency Response,Large,FirstResponder,RescueFly,8,13,6.1,"First Aid Kit","Basic medical supplies",137,46,11.5,OP007,2025-05-30,56,2.8,5.9,Yes,Completed,REG-2025-JKL-567,
D212,Product Photography,Small,StudioShot,PhotoFly,4,1,0.7,Camera,"Macro lens camera",51,18,3.2,OP004,2025-05-31,94,0.9,2.1,No,Completed,REG-2025-MNO-890,
D213,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.4,Package,"Clothing items",69,21,7.1,OP013,2025-05-01,87,1.9,3.4,No,Completed,REG-2025-OPQ-123,
D214,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Standard lens",82,19,5.4,OP004,2025-05-02,91,1.3,2.2,No,Completed,REG-2025-RST-456,
D215,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.6,"Liquid Tank",Herbicide,31,30,10.2,OP003,2025-05-03,44,3.3,7.4,No,Completed,REG-2025-UVW-789,
D216,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.3,Package,"Food delivery",70,14,4.3,OP011,2025-05-04,88,1.6,2.7,No,Completed,REG-2025-XYZ-012,
D217,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.8,Camera,"Telephoto lens",85,22,6.5,OP004,2025-05-05,95,1.2,2.3,No,Completed,REG-2025-ABC-345,
D218,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.6,Camera,"Thermal imaging camera",107,38,11.9,OP002,2025-05-06,66,2.1,5.5,Yes,Completed,REG-2025-DEF-678,
D219,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.5,"Liquid Tank",Fungicide,28,31,9.5,OP003,2025-05-07,43,3.5,7.8,Yes,Completed,REG-2025-GHI-901,
D220,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.2,Package,"Electronics accessories",71,23,7.1,OP013,2025-05-08,87,1.8,3.2,No,Completed,REG-2025-JKL-234,
D221,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"ND filters",83,17,5.8,OP004,2025-05-09,99,1,2.1,No,Completed,REG-2025-MNO-567,
D222,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.7,Sensor,"Gas leak sensor",110,40,13.2,OP002,2025-05-10,71,2.3,5.4,Yes,Completed,REG-2025-OPQ-890,
D223,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.4,Package,"Medicine",73,18,5.1,OP011,2025-05-11,93,1.4,2.8,No,Completed,REG-2025-RST-123,
D224,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.9,Camera,"Time-lapse camera",87,24,6.2,OP004,2025-05-12,90,1.2,2.5,No,Completed,REG-2025-UVW-456,
D225,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,17.7,"Liquid Tank","Nutrient solution",30,32,10.5,OP003,2025-05-13,45,3.2,7.3,Yes,Completed,REG-2025-XYZ-789,
D226,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.5,Package,"Consumer electronics",70,22,7.4,OP013,2025-05-14,86,1.9,3.5,No,Completed,REG-2025-ABC-012,
D227,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"Action camera",84,16,5.8,OP004,2025-05-15,97,1,2.2,No,Completed,REG-2025-DEF-345,
D228,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.8,Camera,"High-resolution still camera",106,39,12.8,OP002,2025-05-16,64,2.5,5.9,Yes,Completed,REG-2025-GHI-678,
D229,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.1,"Liquid Tank",Defoliant,29,34,11.8,OP003,2025-05-17,42,3.4,7.7,Yes,Completed,REG-2025-JKL-901,
D230,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.9,Package,Documents,72,27,8.1,OP013,2025-05-18,83,2.1,3.8,No,Completed,REG-2025-MNO-234,
D231,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Zoom lens",88,20,6.1,OP004,2025-05-19,90,1.5,2.6,No,Completed,REG-2025-OPQ-567,
D232,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.1,Sensor,"Magnetic particle inspection sensor",113,43,13.5,OP002,2025-05-20,69,2.2,5.2,Yes,Completed,REG-2025-RST-890,
D233,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.3,Package,"Clothing items",70,23,7.2,OP013,2025-05-26,82,1.9,3.5,No,Completed,REG-2025-VWX-345,
D234,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Standard lens",86,22,7,OP004,2025-05-27,95,1.2,2.2,No,Completed,REG-2025-XYZ-678,
D235,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.2,"Liquid Tank",Insecticide,30,34,11,OP003,2025-05-28,40,3.4,7.9,Yes,Completed,REG-2025-ABC-901,
D236,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.1,Package,"Small electronics",65,17,5,OP011,2025-05-29,91,1.4,2.7,No,Completed,REG-2025-DEF-234,
D237,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.7,Camera,"Gimbal stabilizer",89,20,6,OP004,2025-05-30,97,1.1,2.4,No,Completed,REG-2025-GHI-567,
D238,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,5.5,Camera,"High-resolution camera",110,39,13,OP002,2025-05-31,62,2.2,5.3,Yes,Completed,REG-2025-JKL-890,
D239,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.5,"Liquid Tank","Growth regulator",25,32,10,OP003,2025-06-01,38,3.6,8.1,Yes,Completed,REG-2025-MNO-123,
D240,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,,Package,Gifts,75,24,7,OP013,2025-06-02,80,1.6,3.3,No,Completed,REG-2025-OPQ-456,
D241,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.2,Camera,"UV filter",83,18,5,OP004,2025-06-03,99,1,1.9,No,Completed,REG-2025-RST-789,
D242,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8,6.1,Sensor,"Corrosion detection sensor",105,40,12,OP002,2025-06-04,70,2,4.8,Yes,Completed,REG-2025-UVW-012,

D243,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.7,Package,"Electronics",65,23,7.8,OP015,2025-06-05,83,1.7,3.1,No,Completed,REG-2025-GHI-345,
D244,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.4,Camera,"Wide lens",88,18,5.1,OP007,2025-06-06,96,1.2,2.4,No,Completed,REG-2025-JKL-678,
D245,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18.5,"Liquid Tank",Pesticide,31,35,11.2,OP003,2025-06-07,41,3.5,7.9,Yes,Completed,REG-2025-MNO-901,
D246,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,5.1,Camera,"Thermal",102,41,13.5,OP002,2025-06-08,67,2.1,5.3,Yes,Completed,REG-2025-PQR-234,
D247,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1.2,Package,"Clothing",72,19,6.3,OP011,2025-06-09,91,1.4,2.8,No,Completed,REG-2025-STU-567,
D248,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.6,Camera,"Zoom",85,20,5.9,OP004,2025-06-10,94,1.3,2.5,No,Completed,REG-2025-VWX-890,
D249,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Herbicide,29,33,9.8,OP003,2025-06-11,43,3.3,7.6,Yes,Completed,REG-2025-YZA-123,
D249,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Herbicide,29,33,9.8,OP003,2025-06-11,43,3.3,7.6,Yes,Completed,REG-2025-YZA-123,
D249,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Herbicide,29,33,9.8,OP003,2025-06-11,43,3.3,7.6,Yes,Completed,REG-2025-YZA-123,
D249,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Herbicide,29,33,9.8,OP003,2025-06-11,43,3.3,7.6,Yes,Completed,REG-2025-YZA-123,
D249,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Herbicide,29,33,9.8,OP003,2025-06-11,43,3.3,7.6,Yes,Completed,REG-2025-YZA-123,
D249,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,19.2,"Liquid Tank",Herbicide,29,33,9.8,OP003,2025-06-11,43,3.3,7.6,Yes,Completed,REG-2025-YZA-123,
D250,Infrastructure Inspection,Medium,ViewMax 500,SkyView Inc.,4,8,4.8,Sensor,"Gas",108,39,12.1,OP002,2025-06-12,69,2.2,5.1,Yes,Completed,REG-2025-BCD-456,
D251,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.5,Package,"Documents",68,24,7.1,OP015,2025-06-13,85,1.8,3.4,No,Completed,REG-2025-EFG-789,
D252,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.3,Camera,"ND filter",82,17,5.5,OP007,2025-06-14,97,1.1,2.2,No,Completed,REG-2025-HIJ-012,
